code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_69,BAD BUNNY - CARO | X100PRE (Video Oficial),Caro,,,,"330,410,579","340,011,184"
BB_70,BAD BUNNY - HACIENDO QUE ME AMAS | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],HACIENDO QUE ME AMAS,El Último Tour Del Mundo,27 November 2020,Haciendo Que Me Amas,"536,802,920","336,235,800"
BB_71,* Brytiago x Bad Bunny - NETFLIXXX (Video Oficial),* Netflixxx,,,,"466,378,151","326,973,628"
BB_72,"BAD BUNNY x JHAY CORTEZ - CÓMO SE SIENTE REMIX | LAS QUE NO IBAN A SALIR 
(Audio Oficial)",* CÓMO SE SIENTE - Remix,single,9 May 2020,CÓMO SE SIENTE - Remix,"959,478,648","319,904,968"
BB_73,"* Arcangel, Bad Bunny - La Jumpa (Video Oficial) | SR. SANTOS",* La Jumpa,single,30 November 2022,La Jumpa,"910,750,731","318,621,460"
BB_74,BAD BUNNY - LA DIFÍCIL | YHLQMDLG (Video Oficial),La Difícil,YHLQMDLG,29 February 2020,La Difícil,"827,297,269","312,825,360"
BB_75,Bad Bunny x Jory Boy - No Te Hagas ( Video Oficial ),* No Te Hagas,single,10 March 2017,No Te Hagas,"641,848,031","299,409,897"
BB_76,"Bad Bunny (ft. Bomba Estéreo) - Ojitos Lindos (360° Visualizer) | Un Verano 
Sin Ti",Ojitos Lindos,Un Verano Sin Ti,14 February 2023,Ojitos Lindos,"1,957,980,479","299,357,639"
BB_77,"* Tainy, Bad Bunny, Julieta Venegas - Lo Siento BB:/ (Official)",* Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Data,5 October 2021,Lo Siento BB:/,"1,216,960,249","283,705,179"
BB_78,"* Maluma - Un Polvo (Official Audio) ft. Bad Bunny, Arcángel, Ñengo Flow, 
De La Ghetto","* Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)",,,,"256,952,227","282,072,860"
BB_79,BAD BUNNY x MORA - UNA VEZ | YHLQMDLG (Video Oficial),Una Vez,YHLQMDLG,21 September 2020,Una Vez,"779,090,220","278,677,923"
BB_80,* Yandel - Explícale (Official Video) ft. Bad Bunny,* Explícale (feat. Bad Bunny),,,,"415,506,702","275,470,711"
BB_81,Bad Bunny - WHERE SHE GOES (Video Oficial),WHERE SHE GOES,Nadie Sabe Lo Que Va a Pasar Mañana,18 May 2023,Where She Goes,"1,006,137,048","269,426,104"
BB_82,Bad Bunny (ft. Buscabulla) - Andrea (360° Visualizer) | Un Verano Sin Ti,Andrea,Un Verano Sin Ti,6 May 2022,Andrea,"673,340,843","268,368,122"
BB_83,Bad Bunny - Efecto (360° Visualizer) | Un Verano Sin Ti,Efecto,Un Verano Sin Ti,6 May 2022,Efecto,"1,683,727,173","246,375,764"
BB_84,"* Residente, Bad Bunny - Bellacoso (Official Video)",* Bellacoso,,,,"233,524,421","233,905,319"
BB_85,BAD BUNNY - NI BIEN NI MAL | X100PRE (Video Oficial),NI BIEN NI MAL,X 100pre,4 May 2019,Ni Bien Ni Mal,"521,889,069","231,364,142"
BB_86,"Bad Bunny (ft. Chencho Corleone) - Me Porto Bonito (360° Visualizer) | Un 
Verano Sin Ti",,,,,look,"230,505,364"
BB_87,Bad Bunny X El Alfa El Jefe - Dema Ga Ge Gi Go Gu [Video Oficial],* Dema Ga Ge Gi Go Gu,,,,"184,824,688","230,333,989"
BB_88,BAD BUNNY - SI VEO A TU MAMÁ | YHLQMDLG [Visualizer],,,,,look,"225,711,050"
BB_89,"* Marc Anthony, Will Smith, Bad Bunny - Está Rico (Official Video)",* Está Rico,,,,"236,076,178","225,544,136"
BB_90,BAD BUNNY - TE MUDASTE | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],TE MUDASTE,El Último Tour Del Mundo,27 November 2020,Te Mudaste,"851,376,908","217,821,294"
BB_91,"* Khea - Loca Remix Ft. Bad Bunny, Duki, Cazzu (Prod. by Omar Varela & 
Mykka)",* Loca - Remix,,,,"453,567,066","210,991,306"
BB_92,BAD BUNNY - MONACO (Official Video) | nadie sabe lo que va a pasar mañana,MONACO,Nadie Sabe Lo Que Va a Pasar Mañana,13 October 2023,Mónaco,"877,906,900","208,417,727"
BB_93,BAD BUNNY - 120 | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],120,El Último Tour Del Mundo,27 November 2020,_120_,"537,006,110","208,236,073"
BB_94,"* J Balvin, Bad Bunny - UN PESO ft. Marciano Cantero (Audio)",* UN PESO,Oasis,28 June 2019,Un Peso,"831,678,641","205,857,037"
BB_95,"* Eladio Carrión, Bad Bunny - Kemba Walker (Audio Oficial)",* Kemba Walker,,,,"475,295,491","201,469,830"
BB_96,BAD BUNNY - NI BIEN NI MAL | X100PRE [Visualizer],,,,,look,"198,434,766"
BB_97,BAD BUNNY x YAVIAH - BICHIYAL | YHLQMDLG (Video Oficial),Bichiyal,YHLQMDLG,29 February 2020,Bichiyal,"542,768,876","197,513,450"
BB_98,"BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE | EL ÚLTIMO TOUR DEL MUNDO 
[Visualizer]",,,,,look,"196,532,072"
BB_99,* El Amante Remix - Nicky Jam ft Ozuna y Bad Bunny,* El Amante (feat. Ozuna & Bad Bunny) - Remix,,,,"197,414,574","192,024,143"
BB_100,BAD BUNNY x PJ SIN SUELA x ÑEJO - CUÁL ES TU PLAN? (Video Oficial),¿Cual Es Tu Plan?,,,,"310,578,771","186,881,380"
BB_101,* Ñengo Flow - Hoy ft. Bad Bunny [Official Video],* Hoy (feat. Bad Bunny),,,,"157,515,008","181,078,298"
BB_102,"* Trap Capos, Noriel - De las 2 (Official Video) ft. Bad Bunny, Arcángel",* De las 2 (feat. Bad Bunny & Arcángel),,,,"334,057,697","180,870,313"
BB_103,"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Video Oficial)",TE DESEO LO MEJOR,,,,"314,510,097","174,672,528"
